1,1,1,0,0
2,1,0,0,0
3,0,0,1,1
4,1,1,1,1
5,1,0,1,0
6,1,0,0,1
7,0,0,1,0
8,0,1,1,0
9,1,0,1,0
10,1,1,1,0
11,1,1,0,1
12,1,0,1,1
13,1,0,1,0
14,0,1,1,1
15,1,1,1,0
16,0,1,0,0
17,0,0,0,0
18,0,0,0,1
19,0,1,0,0
20,0,1,1,0
21,1,1,0,0
22,0,0,0,0
23,1,0,0,1
24,0,1,1,0
25,0,0,1,1
26,1,1,1,0
27,0,0,1,0
28,1,0,1,1
29,0,0,0,1
30,1,1,1,0
31,0,0,1,0
32,1,1,1,0
33,1,0,0,0
34,1,0,0,0
35,1,1,1,1
36,1,1,1,1
37,1,1,1,0
38,1,0,0,0
39,0,0,1,0
40,0,1,0,1
41,0,1,0,1
42,0,1,1,1
43,0,0,1,0
44,0,0,0,1
45,0,1,0,0
46,1,0,1,1
47,0,0,0,0
48,1,1,0,1
49,0,1,1,1
50,0,1,1,0
51,1,0,1,1
52,0,1,1,0
53,0,1,0,0
54,0,1,1,0
55,1,1,1,1
56,1,1,0,1
57,0,0,0,0
58,0,0,0,1
59,1,0,1,1
60,0,0,0,0
61,0,1,0,1
62,0,1,1,0
63,0,1,0,0
64,0,1,0,0
65,0,0,1,1
66,1,0,0,0
67,1,0,0,1
68,1,1,1,0
69,0,1,1,0
70,0,0,1,1
71,1,0,1,1
72,1,1,0,1
73,0,1,0,0
74,1,1,0,0
75,1,0,1,1
76,0,1,0,0
77,1,1,0,1
78,1,0,1,0
79,0,1,1,1
80,1,0,1,1
81,1,1,0,1
82,1,1,1,0
83,0,1,0,0
84,1,0,0,1
85,0,1,0,1
86,1,1,1,1
87,0,0,0,1
88,1,0,1,0
89,0,0,1,0
90,0,0,1,1
91,1,0,1,0
92,0,1,0,1
93,1,0,0,0
94,1,1,0,1
95,0,0,0,0
96,1,1,0,1
97,0,1,1,0
98,0,0,0,0
99,0,1,1,0
100,1,1,0,1
101,1,0,1,0
102,0,1,0,0
103,1,1,0,1
104,1,1,1,0
105,1,0,1,1
106,1,0,1,1
107,1,1,0,0
108,0,0,0,0
109,1,0,1,0
110,0,0,1,1
111,1,0,0,1
112,1,0,0,0
113,1,0,1,1
114,0,0,0,0
115,1,0,0,1
116,1,0,0,0
117,1,0,0,1
118,0,0,0,1
119,0,1,0,1
120,1,0,0,1
121,0,0,1,1
122,1,0,1,1
123,1,0,1,0
124,0,0,1,0
125,1,1,1,1
126,0,0,0,0
127,0,0,1,1
128,1,1,1,0
129,0,0,0,1
130,0,1,0,1
131,0,1,0,0
132,1,1,1,0
133,0,1,1,0
134,1,0,1,0
135,1,1,1,0
136,0,0,1,0
137,1,0,1,0
138,1,0,0,0
139,1,1,0,0
140,0,1,0,1
141,1,1,1,1
142,0,0,1,0
143,1,0,1,1
144,1,1,1,1
145,1,0,0,1
146,1,0,0,0
147,0,0,1,1
148,0,1,1,1
149,1,1,1,0
150,1,0,1,0
151,0,1,1,1
152,1,1,1,0
153,0,0,1,1
154,0,0,1,1
155,1,0,1,0
156,0,1,0,1
157,0,0,1,0
158,1,1,1,1
159,0,0,1,1
160,0,0,0,1
161,0,1,0,1
162,1,0,0,0
163,1,0,0,1
164,1,1,0,0
165,1,0,1,1
166,0,1,1,0
167,1,0,0,0
168,1,1,0,1
169,0,1,1,1
170,1,0,0,1
171,1,0,1,1
172,1,1,1,0
173,1,0,1,1
174,1,1,1,0
175,0,1,0,1
176,0,0,1,0
177,1,0,0,0
178,1,1,0,1
179,1,1,0,1
180,0,1,1,0
181,0,0,1,1
182,1,0,0,0
183,0,1,1,1
184,1,0,0,1
185,0,0,1,0
186,1,1,1,0
187,0,0,1,0
188,1,1,1,0
189,1,0,1,0
190,0,0,1,1
191,0,0,0,1
192,0,1,1,1
193,1,1,0,1
194,1,1,0,1
195,1,0,1,1
196,1,1,1,1
197,0,0,0,0
198,1,0,0,0
199,0,0,1,1
200,0,0,0,1
201,0,1,1,0
202,1,0,1,1
203,0,0,1,1
204,1,0,0,1
205,0,0,1,1
206,1,1,1,0
207,0,1,0,0
208,1,1,0,0
209,0,0,0,0
210,1,1,0,1
211,0,0,1,1
212,1,0,0,1
213,0,0,0,0
214,0,0,0,1
215,1,1,0,1
216,1,1,1,0
217,0,0,0,0
218,1,1,0,0
219,0,0,1,0
220,1,0,1,0
221,0,0,1,1
222,1,0,0,0
223,0,0,0,1
224,1,0,1,0
225,1,1,0,1
226,1,0,0,1
227,0,0,0,1
228,1,1,0,1
229,0,1,1,1
230,1,1,0,0
231,1,1,0,1
232,0,0,1,0
233,1,0,0,1
234,1,1,1,1
235,1,1,0,0
236,1,0,1,1
237,1,1,0,1
238,0,0,0,0
239,1,0,0,0
240,0,1,1,1
241,1,1,0,0
242,1,0,1,0
243,0,1,1,0
244,1,0,1,1
245,0,0,0,0
246,1,1,0,1
247,1,1,1,1
248,0,1,0,1
249,0,0,1,1
250,0,0,0,1
251,1,0,1,0
252,1,1,0,0
253,0,0,0,1
254,1,0,0,0
255,1,0,1,0
256,1,1,0,1
257,0,1,1,0
258,1,1,0,0
259,0,0,1,1
260,1,0,0,0
261,0,1,0,0
262,0,1,0,0
263,0,1,0,0
264,1,0,1,0
265,1,0,0,0
266,1,0,1,1
267,0,1,0,0
268,1,0,0,0
269,0,1,0,0
270,0,0,1,1
271,1,0,0,1
272,0,0,0,0
273,0,1,0,0
274,0,0,1,1
275,0,1,0,1
276,0,1,0,1
277,0,0,1,1
278,0,1,0,0
279,0,1,0,1
280,1,0,1,0
281,0,0,0,0
282,0,1,0,1
283,1,1,1,1
284,1,0,0,0
285,1,0,1,0
286,1,0,1,1
287,0,1,0,1
288,1,0,1,0
289,1,0,1,0
290,0,0,1,1
291,1,1,1,0
292,1,1,0,0
293,0,0,1,1
294,0,1,0,0
295,0,0,0,0
296,1,0,0,1
297,1,1,1,1
298,1,1,1,1
299,0,0,1,1
300,0,0,1,0
